Classifier,Method,Unigrams,Negation,Class,Recall,Precision
NaiveBayesClassifier,2step,ngram3,negtnFalse,Neg,0.725308642,0.683139535
NaiveBayesClassifier,2step,ngram3,negtnTrue,Neg,0.703703704,0.684684685
NaiveBayesClassifier,2step,ngram3,negtnTrue,Neg,0.703703704,0.684684685
NaiveBayesClassifier,2step,ngram3,negtnTrue,Neg,0.703703704,0.684684685
NaiveBayesClassifier,2step,ngram3,negtnTrue,Neg,0.703703704,0.684684685
NaiveBayesClassifier,2step,ngram3,negtnTrue,Neg,0.703703704,0.684684685
NaiveBayesClassifier,2step,ngram3,negtnTrue,Neg,0.703703704,0.684684685
NaiveBayesClassifier,2step,ngram3,negtnTrue,Neg,0.703703704,0.684684685
NaiveBayesClassifier,2step,ngram3,negtnTrue,Neg,0.703703704,0.684684685
NaiveBayesClassifier,2step,ngram3,negtnTrue,Neg,0.703703704,0.684684685
NaiveBayesClassifier,2step,ngram3,negtnTrue,Neg,0.703703704,0.684684685
MaxentClassifier,1step,ngram1,negtnFalse,Neu,0.88630491,0.834549878
MaxentClassifier,1step,ngram1,negtnFalse,Neu,0.862745098,0.814814815
MaxentClassifier,1step,ngram1,negtnFalse,Neu,0.886740331,0.825192802
MaxentClassifier,1step,ngram1,negtnFalse,Neu,0.856079404,0.860349127
MaxentClassifier,1step,ngram1,negtnFalse,Neu,0.860526316,0.829949239
MaxentClassifier,1step,ngram1,negtnFalse,Neu,0.873417722,0.860349127
MaxentClassifier,1step,ngram1,negtnFalse,Neu,0.88976378,0.84962406
MaxentClassifier,1step,ngram1,negtnFalse,Neu,0.874269006,0.816939891
MaxentClassifier,1step,ngram1,negtnFalse,Neu,0.87371134,0.845386534
MaxentClassifier,1step,ngram1,negtnFalse,Neu,0.882666667,0.8275
MaxentClassifier,1step,ngram1,negtnTrue,Neu,0.888888889,0.836982968
MaxentClassifier,1step,ngram1,negtnTrue,Neu,0.868347339,0.813648294
MaxentClassifier,1step,ngram1,negtnTrue,Neu,0.886740331,0.814720812
MaxentClassifier,1step,ngram1,negtnTrue,Neu,0.863523573,0.861386139
MaxentClassifier,1step,ngram1,negtnTrue,Neu,0.865789474,0.826633166
MaxentClassifier,1step,ngram1,negtnTrue,Neu,0.873417722,0.864661654
MaxentClassifier,1step,ngram1,negtnTrue,Neu,0.895013123,0.846153846
MaxentClassifier,1step,ngram1,negtnTrue,Neu,0.877192982,0.808625337
MaxentClassifier,1step,ngram1,negtnTrue,Neu,0.87371134,0.8475
MaxentClassifier,1step,ngram1,negtnTrue,Neu,0.893333333,0.823095823
MaxentClassifier,1step,ngram3,negtnFalse,Neu,0.88372093,0.857142857
MaxentClassifier,1step,ngram3,negtnFalse,Neu,0.87394958,0.816753927
MaxentClassifier,1step,ngram3,negtnFalse,Neu,0.895027624,0.848167539
MaxentClassifier,1step,ngram3,negtnFalse,Neu,0.875930521,0.86097561
MaxentClassifier,1step,ngram3,negtnFalse,Neu,0.886842105,0.8425
